title,company,location,source,job_type,seniority,is_remote,country,tech_stack
Full Stack Engineer,MLabs,"New York,NY,United States",web3.career,Full Stack Developer,Mid,False,USA,
Operations Project Manager,D3,"Los Angeles,CA,United States",web3.career,Other,Mid,False,USA,
Distribution Partnership Specialist Web3,D3,"Los Angeles,CA,United States",web3.career,Other,Mid,False,USA,
Head of Product Compliance,Okx,Remote,web3.career,Product Manager,Lead,True,Remote,
Senior Legal Counsel,Nearfoundation,Remote,web3.career,Compliance/Legal,Senior,True,Remote,
Business Development Director,Nearfoundation,Remote,web3.career,Executive/Lead,Lead,True,Remote,
Senior QA Automation Engineer Web3,Kraken,United States,web3.career,Blockchain Developer,Senior,False,USA,
Developer Relations Engineer,Layerzerolabs,"Vancouver,Canada",web3.career,Other,Mid,False,Canada,
Principal FrontEnd Engineer,Improbable,"London,United Kingdom",web3.career,Frontend Developer,Senior,False,UK,
Trading Operations Analyst,Gsrmarkets,Remote,web3.career,Research/Analyst,Mid,True,Remote,
DeFi Trader,Gsrmarkets,Remote,web3.career,DeFi Engineer,Mid,True,Remote,
Head of Compliance Americas,Falconx,Remote,web3.career,Compliance/Legal,Lead,True,Remote,
Product Manager,Copperco,Remote,web3.career,Product Manager,Mid,True,Remote,
Paralegal London,Copperco,Remote,web3.career,Compliance/Legal,Mid,True,Remote,
Legal Counsel EMEA,Copperco,Remote,web3.career,Compliance/Legal,Mid,True,Remote,
VP Client Operations,Copperco,Remote,web3.career,Other,Lead,True,Remote,
Client Operations Associate,Copperco,Remote,web3.career,Other,Mid,True,Remote,
Tax Manager,Copperco,Remote,web3.career,Other,Mid,True,Remote,
Technical Support Lead,Copperco,Remote,web3.career,Executive/Lead,Lead,True,Remote,
QA Engineer,Copperco,Remote,web3.career,QA/Testing,Mid,True,Remote,
Associate Software Engineer,Copperco,Remote,web3.career,Other,Mid,True,Remote,
Venture Analyst,Digitalcurrencygroup,Remote,web3.career,Research/Analyst,Mid,True,Remote,
Business Development Manager West,Dialecticch,Remote,web3.career,Other,Mid,True,Remote,
Credit Trader Prime Finance,Anchorage Digital,"Singapore,Singapore",web3.career,Other,Mid,False,Singapore,
Senior Web3 Frontend Engineer Lead,WeAreShovels.com,Remote,web3.career,Blockchain Developer,Senior,True,Remote,
Integration support agent,Wert,Remote,web3.career,Other,Mid,True,Remote,
Binance Accelerator Program Web3 AI,Binance,"Brisbane,Australia",web3.career,Other,Mid,False,Other,
Senior Product Operations Derivatives,Binance,"Taipei,Taiwan",web3.career,Product Manager,Senior,False,Other,
Front Office Risk Manager Crypto Credit Products DeFi F M D,Flowdesk,"New York,NY,United States",web3.career,DeFi Engineer,Mid,False,USA,
Country Head North America,Bitget Wallet,"New York,NY,United States",web3.career,Other,Lead,False,USA,
